ID,Time,
1TOPMLAX1GC9RC5AF7,11:40:00,FALSE
1TOPMRAX1G9A370AAN,12:03:26,23:54:34
1TOPMRAX1G9A370AAN,11:58:00,FALSE
1TOPOK1X1G9EICMAFL,10:42:00,0:32:58
1TOPOK1X1G9EICMAFL,11:14:58,0:52:35
1TOPOK1X1G9EICMAFL,12:07:33,0:09:27
1TOPOK1X1G9EICMAFL,12:17:00,FALSE
1TOPP0CX1GBNPGMAA5,11:35:22,23:10:38
1TOPP0CX1GBNPGMAA5,10:46:00,0:04:15
1TOPP0CX1GBNPGMAA5,10:50:15,0:51:45
1TOPP0CX1GBNPGMAA5,11:42:00,FALSE
1TOPQ86X1FV31SOAA2,10:48:30,0:09:30
1TOPQ86X1FV31SOAA2,10:58:00,FALSE
1TOPRH0X1GB0EH2AF2,12:40:42,23:48:28
1TOPRH0X1GB0EH2AF2,12:29:10,FALSE
1TOPRQ6X1G3M9SNAFK,10:48:00,0:44:00
1TOPRQ6X1G3M9SNAFK,11:32:00,FALSE
1TOPS29X1GCDJKJAAP,12:41:57,23:32:58
1TOPS29X1GCDJKJAAP,12:14:55,FALSE
1TOPSKJX1G3UQRDAF1,10:38:00,1:04:00
1TOPSKJX1G3UQRDAF1,11:42:00,FALSE
1TOPUSAX1GB4824ASD,10:40:00,0:09:00
1TOPUSAX1GB4824ASD,10:49:00,FALSE
1TOPVL2X1G8PA2MAFQ,10:37:00,0:46:00
1TOPVL2X1G8PA2MAFQ,11:23:00,FALSE
1TOQ088X1FJG293AME,11:13:00,0:51:00
1TOQ088X1FJG293AME,12:04:00,FALSE
1TOQ0C1X1FT4HA1AA1,11:41:00,0:09:27
1TOQ0C1X1FT4HA1AA1,11:50:27,FALSE
1TOQ1UCX1GC4NO8ASO,10:43:11,0:21:49
1TOQ1UCX1GC4NO8ASO,11:05:00,FALSE
1TOQ2O9X15QT815ASY,11:40:00,0:34:00
1TOQ2O9X15QT815ASY,12:14:00,FALSE
1TOQ2QQX1CR71D3AAX,11:26:00,0:08:00
1TOQ2QQX1CR71D3AAX,11:34:00,FALSE
1TOQ64PX15PTTQRAAF,11:26:00,0:30:21
1TOQ64PX15PTTQRAAF,11:56:21,FALSE
1TOQ6ESX151TKR6AF8,11:46:00,0:30:14
1TOQ6ESX151TKR6AF8,12:16:14,FALSE
1TOQ6J3X1G95FLIAA4,12:31:56,0:05:04
1TOQ6J3X1G95FLIAA4,12:37:00,FALSE
1TOQ6MNX1GA1V4JAMC,11:21:57,0:04:13
1TOQ6MNX1GA1V4JAMC,11:26:10,FALSE
1TOQ7QIX1G44PRGASX,12:01:00,FALSE
1TOQ8RPX1E3J2OJAM4,11:55:28,0:39:29
1TOQ8RPX1E3J2OJAM4,12:34:57,FALSE
1TOQB6LX1FSPKCUAAM,11:27:00,0:30:00
1TOQB6LX1FSPKCUAAM,11:57:00,FALSE
1TOQCJVX15A4661AFD,10:39:00,0:12:00
1TOQCJVX15A4661AFD,10:51:00,FALSE
1TOQCKTX1G5GMH6VAT,12:22:28,0:03:31
1TOQCKTX1G5GMH6VAT,12:25:59,FALSE
1TOQCPJX1GARDMLASR,10:45:00,1:18:00
1TOQCPJX1GARDMLASR,12:03:00,FALSE
1TOQDTBX1G9EJ72AA2,11:45:00,0:09:34
1TOQDTBX1G9EJ72AA2,11:54:34,FALSE
1TOQE0IX1G2GLT0AAU,12:21:20,0:29:40
1TOQE0IX1G2GLT0AAU,12:51:00,FALSE
1TOQE74X1GABDB3ASB,12:01:00,FALSE
1TOQEF4X1BTNKOHNF0,10:47:00,0:13:00
1TOQEF4X1BTNKOHNF0,11:00:00,FALSE
1TOQGCUX1GCPJESAFP,11:02:00,0:42:00
1TOQGCUX1GCPJESAFP,11:44:00,FALSE
1TOQGOAX18KQLREAF9,10:56:34,1:07:38
1TOQGOAX18KQLREAF9,12:04:12,FALSE
1TOQHTQX1G4QQGAAF7,10:51:00,0:35:00
1TOQHTQX1G4QQGAAF7,11:26:00,FALSE
1TOQJJ6X1G3MUIOAFB,12:02:26,23:30:28
1TOQJJ6X1G3MUIOAFB,11:32:54,FALSE
1TOQKPGX1G7M14FAFD,11:14:46,0:12:22
1TOQKPGX1G7M14FAFD,11:27:08,FALSE
1TOQMQDX1G31KC5AMI,11:56:00,0:06:00
1TOQMQDX1G31KC5AMI,12:02:00,FALSE
1TOQO5SX1GEAFCCAFP,11:07:56,0:09:44
1TOQO5SX1GEAFCCAFP,11:17:40,FALSE
1TOQODBX15T09LGAAG,12:05:00,0:08:00
1TOQODBX15T09LGAAG,12:13:00,FALSE
1TOQPEGX1G1DL43AFJ,11:42:00,0:27:00
1TOQPEGX1G1DL43AFJ,12:09:00,FALSE
1TOQPJVX1G5QSAOAF5,10:41:00,0:59:00
1TOQPJVX1G5QSAOAF5,11:40:00,FALSE
1TOQQOCX1G83VC9NFW,10:43:00,0:12:00
1TOQQOCX1G83VC9NFW,10:55:00,FALSE
1TOQRDRX1GCJ1Q6AFN,10:44:23,0:40:37
1TOQRDRX1GCJ1Q6AFN,11:25:00,FALSE
